crime,cod_ibge,municipio,taxa_por_1000,moran_local_Ii,p_valor,cluster,litoranea_turistica
Roubo (art. 157),3513108,Cravinhos,0.631,-0.0199,0.362,Não significativo,0
Roubo (art. 157),3513207,Cristais Paulista,0.755,-0.0152,0.506,Não significativo,0
Roubo (art. 157),3513306,Cruzália,0,0.289,0.014,Baixo-Baixo,0
Roubo (art. 157),3513405,Cruzeiro,0.96,0.0244,0.56,Não significativo,0
Roubo (art. 157),3513504,Cubatão,4.054,11.7306,0.002,Alto-Alto,1
Roubo (art. 157),3513603,Cunha,0.362,-0.0148,0.718,Não significativo,0
Roubo (art. 157),3513702,Descalvado,0.913,0.0264,0.536,Não significativo,0
Roubo (art. 157),3513801,Diadema,6.772,26.1251,0.002,Alto-Alto,0
Roubo (art. 157),3513850,Dirce Reis,0,0.2524,0.064,Não significativo,0
Roubo (art. 157),3513900,Divinolândia,0.09,0.2239,0.184,Não significativo,0
Roubo (art. 157),3514007,Dobrada,0.114,0.0054,0.664,Não significativo,0
Roubo (art. 157),3514106,Dois Córregos,0,0.1525,0.45,Não significativo,0
Roubo (art. 157),3514205,Dolcinópolis,0,0.2713,0.04,Baixo-Baixo,0
Roubo (art. 157),3514304,Dourado,0,0.1448,0.532,Não significativo,0
Roubo (art. 157),3514403,Dracena,0.154,0.2268,0.002,Baixo-Baixo,0
Roubo (art. 157),3514502,Duartina,0.162,0.084,0.726,Não significativo,0
Roubo (art. 157),3514601,Dumont,0.422,-0.067,0.364,Não significativo,0
Roubo (art. 157),3514700,Echaporã,0.322,0.1241,0.082,Não significativo,0
Roubo (art. 157),3514809,Eldorado,0.383,0.0165,0.968,Não significativo,0
Roubo (art. 157),3514908,Elias Fausto,0.791,0.0096,0.534,Não significativo,0
Roubo (art. 157),3514924,Elisiário,0,0.2317,0.234,Não significativo,0
Roubo (art. 157),3514957,Embaúba,0,0.2252,0.176,Não significativo,0
Roubo (art. 157),3515004,Embu das Artes,7.519,30.3031,0.002,Alto-Alto,0
