cod_ibge,municipio,populacao,renda,n_roubo,n_furto,n_lesao,taxa_roubo_1000,taxa_furto_1000,taxa_lesao_1000
3510104,Cândido Rodrigues,2889,2157.59,0,30,10,0,10.384,3.461
3510153,Canitar,6283,2041.71,2,37,34,0.318,5.889,5.411
3510203,Capão Bonito,46337,2090.65,18,295,164,0.388,6.366,3.539
3510302,Capela do Alto,22866,1925.41,18,167,87,0.787,7.303,3.805
3510401,Capivari,50068,2697.78,30,247,209,0.599,4.933,4.174
3510500,Caraguatatuba,134873,2564.44,254,1917,873,1.883,14.213,6.473
3510609,Carapicuíba,386984,2523.5,2476,3579,1329,6.398,9.248,3.434
3510708,Cardoso,11345,2261.09,3,104,76,0.264,9.167,6.699
3510807,Casa Branca,28083,2434.52,12,278,162,0.427,9.899,5.769
3510906,Cássia dos Coqueiros,2799,2135.3,0,18,6,0,6.431,2.144
3511003,Castilho,19977,2425.93,2,115,86,0.1,5.757,4.305
3511102,Catanduva,115791,2912.52,51,962,582,0.44,8.308,5.026
3511201,Catiguá,7003,2332.29,1,26,37,0.143,3.713,5.283
3511300,Cedral,12618,2685.36,0,117,68,0,9.272,5.389
3511409,Cerqueira César,21469,2345.1,7,128,151,0.326,5.962,7.033
3511508,Cerquilho,44695,2801.76,38,298,169,0.85,6.667,3.781
3511607,Cesário Lange,19048,2036.07,11,113,57,0.577,5.932,2.992
3511706,Charqueada,15535,2363.83,13,91,75,0.837,5.858,4.828
3511904,Clementina,6982,2177.22,0,17,27,0,2.435,3.867
3512001,Colina,18486,2407.53,5,83,88,0.27,4.49,4.76
3512100,Colômbia,6629,2102.82,2,71,42,0.302,10.711,6.336
3512209,Conchal,28101,2234.51,22,250,93,0.783,8.896,3.309
3512308,Conchas,15232,2473.8,13,148,71,0.853,9.716,4.661
3512407,Cordeirópolis,24514,2905.78,26,227,120,1.061,9.26,4.895
3512506,Coroados,5400,2177.67,0,43,23,0,7.963,4.259
3512605,Coronel Macedo,4280,2076.63,0,11,19,0,2.57,4.439
3512704,Corumbataí,4195,2321.98,4,42,13,0.954,10.012,3.099
3512803,Cosmópolis,59773,2689.65,84,434,222,1.405,7.261,3.714
3512902,Cosmorama,8719,2156.19,1,56,42,0.115,6.423,4.817
3513009,Cotia,274413,3999.36,1329,2803,983,4.843,10.215,3.582
3513108,Cravinhos,33281,2503.5,21,213,129,0.631,6.4,3.876
3513207,Cristais Paulista,9272,2431.47,7,80,34,0.755,8.628,3.667
3513306,Cruzália,2108,2206.05,0,8,9,0,3.795,4.269
3513405,Cruzeiro,74961,2491.15,72,516,311,0.96,6.884,4.149
3513504,Cubatão,112476,2250.97,456,1286,424,4.054,11.434,3.77
3513603,Cunha,22110,1834.34,8,87,53,0.362,3.935,2.397
